oracle_per_state,family,candidates,executed,typed_failures,successes,successful_ordinals,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,4,1,6,1
selection,no-model-ordinal-prior,20260908,issue-77-n1-010-a06,False,8,issue-77-n1-010-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-010-a06,False,8,issue-77-n1-010-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-010-a06,False,8,issue-77-n1-010-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-011-a02,True,12,issue-77-n1-011-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-011-a02,True,12,issue-77-n1-011-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-011-a02,True,10,issue-77-n1-011-a10,,
selection,continuous-fixed-h1,20260908,issue-77-n1-011-a02,True,9,issue-77-n1-011-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-011-a02,True,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-011-a02,True,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-011-a02,True,9,issue-77-n1-011-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-011-a02,True,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-011-a02,True,7,issue-77-n1-011-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-011-a02,True,8,issue-77-n1-011-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-011-a02,True,8,issue-77-n1-011-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-011-a02,True,8,issue-77-n1-011-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-011-a11,False,12,issue-77-n1-011-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-011-a11,False,12,issue-77-n1-011-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-011-a11,False,10,issue-77-n1-011-a10,,
selection,continuous-fixed-h1,20260908,issue-77-n1-011-a11,False,9,issue-77-n1-011-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-011-a11,False,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-011-a11,False,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-011-a11,False,9,issue-77-n1-011-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-011-a11,False,7,issue-77-n1-011-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-011-a11,False,7,issue-77-n1-011-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-011-a11,False,8,issue-77-n1-011-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-011-a11,False,8,issue-77-n1-011-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-011-a11,False,8,issue-77-n1-011-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-012-a08,True,12,issue-77-n1-012-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-012-a08,True,12,issue-77-n1-012-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-012-a08,True,7,issue-77-n1-012-a07,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-012-a08,True,9,issue-77-n1-012-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-012-a08,True,7,issue-77-n1-012-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-012-a08,True,8,issue-77-n1-012-a08,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-012-a08,True,9,issue-77-n1-012-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-012-a08,True,8,issue-77-n1-012-a08,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-012-a08,True,7,issue-77-n1-012-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-012-a08,True,8,issue-77-n1-012-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-012-a08,True,8,issue-77-n1-012-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-012-a08,True,8,issue-77-n1-012-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-013-a04,False,12,issue-77-n1-013-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-013-a04,False,12,issue-77-n1-013-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-013-a04,False,9,issue-77-n1-013-a09,,
selection,continuous-fixed-h1,20260909,issue-77-n1-013-a04,False,7,issue-77-n1-013-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-013-a04,False,9,issue-77-n1-013-a09,,
selection,continuous-fixed-h5,20260909,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-013-a04,False,7,issue-77-n1-013-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-013-a04,False,8,issue-77-n1-013-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-014-a01,False,12,issue-77-n1-014-a12,,
selection,hybrid-fixed-h1,20260909,issue-77-n1-014-a01,False,12,issue-77-n1-014-a12,,
selection,hybrid-fixed-h1,20260910,issue-77-n1-014-a01,False,10,issue-77-n1-014-a10,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-014-a01,False,9,issue-77-n1-014-a09,,
selection,continuous-fixed-h1,20260909,issue-77-n1-014-a01,False,7,issue-77-n1-014-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-014-a01,False,7,issue-77-n1-014-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-014-a01,False,9,issue-77-n1-014-a09,,
selection,continuous-fixed-h5,20260909,issue-77-n1-014-a01,False,7,issue-77-n1-014-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-014-a01,False,7,issue-77-n1-014-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-014-a01,False,8,issue-77-n1-014-a08,,
selection,no-model-ordinal-prior,20260909,issue-77-n1-014-a01,False,8,issue-77-n1-014-a08,,
selection,no-model-ordinal-prior,20260910,issue-77-n1-014-a01,False,8,issue-77-n1-014-a08,,
selection,hybrid-fixed-h1,20260908,issue-77-n1-014-a10,False,12,issue-77-n1-014-a12,,
selection,hybrid-fixed-h1,20260909,issue-77-n1-014-a10,False,12,issue-77-n1-014-a12,,
selection,hybrid-fixed-h1,20260910,issue-77-n1-014-a10,False,10,issue-77-n1-014-a10,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-014-a10,False,9,issue-77-n1-014-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-014-a10,False,7,issue-77-n1-014-a07,,
selection,continuous-fixed-h1,20260910,issue-77-n1-014-a10,False,7,issue-77-n1-014-a07,,
